regime,rho_a,sigma_a,variable,impact,peak_abs,t_peak,cumulative,halflife
CAP_AND_TRADE,0.85,0.01,y,0.00932536021629693,0.00932536021629693,0,0.0731278128099587,6
CAP_AND_TRADE,0.85,0.01,c,0.00182144850860355,0.00201614168582631,4,0.0364171819889334,NaN
CAP_AND_TRADE,0.85,0.01,iv,0.00731391268807244,0.00731391268807244,0,0.0352206923716093,4
CAP_AND_TRADE,0.85,0.01,l,0.000676187262653366,0.000676187262653366,0,0.00107419138648585,3
CAP_AND_TRADE,0.85,0.01,mc,0.00026711911874755,0.00026711911874755,0,0.00109115110943769,4
CAP_AND_TRADE,0.85,0.01,pie,7.14176972749225e-05,7.14176972749225e-05,0,-0.000649531297531869,2
CAP_AND_TRADE,0.85,0.01,z,0,0,0,0,0
CAP_AND_TRADE,0.85,0.01,u,0.0100706104535625,0.0100706104535625,0,0.0789719323488574,6
CAP_AND_TRADE,0.85,0.01,pz,0.00515274361357018,0.00515274361357018,0,0.0404068970732488,6
CAP_AND_TRADE,0.85,0.01,rnom,0.000216417264469637,0.000216417264469637,0,-0.00196827665918753,2
CAP_AND_TRADE,0.85,0.02,y,0.0186507204325939,0.0186507204325939,0,0.146255625619917,6
CAP_AND_TRADE,0.85,0.02,c,0.0036428970172071,0.00403228337165273,4,0.072834363977867,NaN
CAP_AND_TRADE,0.85,0.02,iv,0.0146278253761449,0.0146278253761449,0,0.0704413847432186,4
CAP_AND_TRADE,0.85,0.02,l,0.0013523745253067,0.0013523745253067,0,0.0021483827729718,3
CAP_AND_TRADE,0.85,0.02,mc,0.000534238237494988,0.000534238237494988,0,0.00218230221887517,4
CAP_AND_TRADE,0.85,0.02,pie,0.000142835394550067,0.000142835394550067,0,-0.0012990625950634,2
CAP_AND_TRADE,0.85,0.02,z,0,0,0,0,0
CAP_AND_TRADE,0.85,0.02,u,0.0201412209071249,0.0201412209071249,0,0.157943864697715,6
CAP_AND_TRADE,0.85,0.02,pz,0.0103054872271404,0.0103054872271404,0,0.0808137941464976,6
CAP_AND_TRADE,0.85,0.02,rnom,0.000432834528939496,0.000432834528939496,0,-0.00393655331837506,2
CAP_AND_TRADE,0.95,0.005,y,0.00429567194430669,0.00429567194430669,0,0.0648944467579351,20
CAP_AND_TRADE,0.95,0.005,c,0.00144690561357119,0.00173543912788765,10,0.0347139073615294,NaN
CAP_AND_TRADE,0.95,0.005,iv,0.00276124440781772,0.00276124440781772,0,0.0288583511938208,9
CAP_AND_TRADE,0.95,0.005,l,0.000194934284551779,0.000194934284551779,0,0.000489781397966238,4
CAP_AND_TRADE,0.95,0.005,mc,9.20049568767789e-05,9.20049568767789e-05,0,0.00081371352386117,8
CAP_AND_TRADE,0.95,0.005,pie,5.65193863464319e-05,5.65193863464319e-05,0,4.22652286049541e-05,4
CAP_AND_TRADE,0.95,0.005,z,0,0,0,0,0
CAP_AND_TRADE,0.95,0.005,u,0.00463896705156855,0.00463896705156855,0,0.0700805844214487,20
CAP_AND_TRADE,0.95,0.005,pz,0.00237358082300527,0.00237358082300527,0,0.0358575366883702,20
CAP_AND_TRADE,0.95,0.005,rnom,0.000171270867716622,0.000171270867716622,0,0.000128076450317316,4
CAP_AND_TRADE,0.95,0.01,y,0.00859134388861327,0.00859134388861327,0,0.12978889351587,20
